iter	Logloss
0	0.655099442
1	0.620669696
2	0.5894162055
3	0.56090964
4	0.5348590471
5	0.5110817006
6	0.4891305388
7	0.4690636748
8	0.4505670256
9	0.4334197893
10	0.4176871691
11	0.402992011
12	0.3893485186
13	0.3768439938
14	0.3652415945
15	0.3545612262
16	0.3446481185
17	0.3353736997
18	0.3267620901
19	0.318794731
20	0.311436182
21	0.3045953363
22	0.2980879484
23	0.2920550991
24	0.2864442024
25	0.2813260118
26	0.2763173686
27	0.2713964714
28	0.266820143
29	0.2625297065
30	0.258541226
31	0.2545504631
32	0.2508843194
33	0.2476896173
34	0.2445282852
35	0.2414231695
36	0.2384258483
37	0.2357667782
38	0.2334428737
39	0.2298242105
40	0.2265870773
41	0.2238093729
42	0.2210787763
43	0.2185152779
44	0.2162559731
45	0.2140758248
46	0.2122531821
47	0.2102653062
48	0.2085132285
49	0.2068113086
